track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
3LwEvhhYpfGaIeEC3b9D2Y,0.355,0.812,0.448,1.98e-05,11,0.112,-7.438,0,0.189,89.966,0.212
7iCs98iS5n6KCI4q3H7zp9,0.19,0.655,0.647,0.00877,1,0.0412,-9.465,1,0.0903,80.077,0.931
7x6hO9VMAee9x1iWaeNkL6,0.127,0.41,0.601,0.0,7,0.112,-10.714,1,0.504,173.273,0.516
6UuVONmxXwTKN1ISepuAoQ,0.0981,0.441,0.563,9.78e-05,9,0.221,-5.252,0,0.0288,182.704,0.282
16umSNZfofRpDqTvf8DIAo,0.818,0.656,0.33,0.00386,8,0.107,-8.771,1,0.162,119.057,0.349
3a6PN6BRB8PP3ms48s7kU1,0.181,0.601,0.772,0.0543,0,0.0928,-4.137,0,0.031,99.445,0.294
02ppMPbg1OtEdHgoPqoqju,0.511,0.523,0.656,0.16,4,0.0679,-7.441,0,0.0262,104.271,0.214
4wajJ1o7jWIg62YqpkHC7S,0.772,0.531,0.61,0.756,11,0.0908,-8.025,0,0.0387,152.958,0.199
5Qv2Nby1xTr9pQyjkrc94J,0.531,0.67,0.478,0.428,4,0.138,-8.689,0,0.0355,88.014,0.0997
4T1iiabe7G0UjWQJCY6NE2,0.694,0.596,0.383,0.808,1,0.0889,-11.194,0,0.0324,77.423,0.0506
4xHQTdD5oItTLv0rTjM5XN,0.236,0.654,0.866,0.0,7,0.306,-3.318,0,0.151,85.488,0.505
64SIlhd3BaHCCMSfajXG7l,0.0256,0.546,0.867,0.000229,11,0.221,-4.235,0,0.0354,127.988,0.189
67c5M9gVWemCV5SGH5cc4v,0.054,0.23,0.772,0.000138,1,0.644,-6.349,1,0.342,173.377,0.589
7CIKMtUUz31yX6MNX2nGbB,0.945,0.379,0.334,0.708,9,0.273,-12.412,1,0.0316,91.565,0.133
7rIhp6EWLNtM8qFIQruJPT,0.99,0.31,0.146,0.261,0,0.076,-19.278,1,0.0303,162.831,0.333
0FQeZmAKQLLnZC5iTN6JuR,0.142,0.485,0.91,0.0,7,0.204,-4.426,1,0.2,87.646,0.583
4qQ99MskaNMqZWvMLkHrZw,0.206,0.634,0.929,0.0,1,0.36,-6.16,1,0.343,79.994,0.807
2sW8fmnISifQTRgnRrQTYW,0.778,0.607,0.294,0.162,5,0.106,-11.836,1,0.0764,76.083,0.192
1a9maLxqpx3cxjY1lTj62B,0.532,0.664,0.645,0.652,7,0.251,-9.334,0,0.0353,79.526,0.643
4XkXgUNDVBMj3oJoE8yspZ,0.158,0.808,0.557,0.0,0,0.0906,-5.538,0,0.118,87.856,0.383
7aK5rlTVxSgcqShPMI1TTH,0.025,0.529,0.778,0.0,5,0.14,-3.932,1,0.327,80.02,0.706
5f6esnDQcBiFAm8iMfkw12,0.577,0.59,0.602,6.59e-06,8,0.643,-8.195,1,0.413,121.986,0.72
08b1bCjsKjMzhjBm0qhkof,0.55,0.476,0.802,0.835,4,0.287,-9.021,0,0.0514,91.483,0.228
3K6U7TamNyVSWcFH8pCQHX,0.0315,0.724,0.45,1.42e-05,4,0.111,-5.763,0,0.0497,140.978,0.464
10nyNJ6zNy2YVYLrcwLccB,0.0577,0.255,0.393,0.00361,5,0.113,-10.654,1,0.0278,76.426,0.118
3Um9toULmYFGCpvaIPFw7l,0.447,0.283,0.716,0.0,1,0.399,-9.632,0,0.0986,201.96,0.828
6klcfLeLG0gv64vGjs05FL,0.101,0.747,0.672,0.0,1,0.0769,-3.852,1,0.338,90.167,0.706
40RYtDQwVLnfH4WzhxEqOQ,0.497,0.553,0.865,3.22e-05,10,0.125,-3.248,0,0.388,83.48,0.852
37pKTyMwalomKCZjxTc2QZ,0.00196,0.49,0.652,6.24e-05,2,0.0991,-5.813,1,0.0274,90.085,0.339
3DXjKH4NR0tRS44Sb1H8fw,0.00473,0.526,0.717,0.0,6,0.096,-7.182,0,0.363,149.226,0.224
1OubIZ0ARYCUq5kceYUQiO,0.948,0.465,0.225,0.00155,4,0.18,-12.637,0,0.0455,57.75,0.207
6lXGIJbyM4YBjK6CzIce25,0.12,0.523,0.469,0.0,5,0.356,-12.6,1,0.26,90.091,0.504
2334WaCjswLcRIRgTTPWaZ,0.362,0.661,0.746,0.0,8,0.454,-2.223,0,0.25,83.935,0.678
5W9ubeUTXWTeW9iAQlTlzt,0.0764,0.521,0.72,0.0,8,0.157,-5.444,1,0.292,90.05,0.42
63OQupATfueTdZMWTxW03A,0.0638,0.36,0.501,9.32e-05,7,0.172,-9.129,1,0.0258,74.807,0.324
0YJ9FWWHn9EfnN0lHwbzvV,0.108,0.462,0.832,0.00416,11,0.0741,-6.085,0,0.0479,165.653,0.807
787rCZF9i4L1cXGMkdyIk4,0.18,0.597,0.427,1.33e-05,5,0.121,-6.764,0,0.0536,120.085,0.0997
1xb836z7cKQ18ltAIKb5lr,0.296,0.394,0.838,0.0,1,0.589,-6.946,1,0.487,92.285,0.551
3Ty7OTBNSigGEpeW2PqcsC,0.177,0.51,0.434,0.516,1,0.0603,-10.004,1,0.0361,119.695,0.207
2ML7vSeIZEmOCOiLUmz7Sv,0.225,0.479,0.593,0.0,7,0.207,-7.739,1,0.0613,125.035,0.0373
3uFweCfk2Tk4fZzmTMzbRe,0.288,0.522,0.558,8.67e-06,9,0.11,-9.103,0,0.337,95.609,0.693
75izAeHlGuOgA865CFDyIv,0.588,0.526,0.896,0.0,8,0.37,-4.708,1,0.197,129.313,0.745
6ZGoFntcQUWTPGGQPQmecY,0.119,0.571,0.724,4.35e-06,4,0.423,-7.871,0,0.134,76.014,0.528
5VRVvhMA1szwwiv7Z7Jfrk,0.0418,0.692,0.983,0.0,1,0.21,-3.469,1,0.29,75.992,0.792
4tU1vbxn9rvUv9VuAUXERx,0.0108,0.483,0.84,2.77e-06,5,0.382,-5.116,0,0.0965,114.379,0.204
6bGwKHXHNLmTy6yt147FPh,0.0186,0.46,0.697,0.0,6,0.362,-5.954,0,0.325,153.426,0.701
7iEoaTyBCqLaAwJnOP1BTn,0.0713,0.695,0.796,0.0163,5,0.096,-3.696,1,0.171,78.035,0.598
6IZvVAP7VPPnsGX6bvgkqg,0.0786,0.665,0.535,1.68e-05,4,0.154,-7.056,0,0.0572,138.842,0.37
23luOrEVHMfoX0AhfbQuS6,0.604,0.588,0.479,7.2e-06,1,0.527,-7.039,1,0.281,150.414,0.434
0y9uTzK9cNKSAEHnpeRG8C,0.0536,0.552,0.731,0.0,7,0.258,-6.873,1,0.615,174.516,0.632
2BMRUAA1oTc7e9JPlr6xbZ,0.57,0.827,0.81,1.28e-05,4,0.2,-1.257,0,0.223,88.69,0.524
4tQcyj5488alHT1ZgFduzn,0.415,0.624,0.729,0.0,1,0.135,-4.747,1,0.198,87.948,0.334
5Mtt6tZSZA9cXTHGSGpyh0,0.00713,0.553,0.852,0.0,10,0.463,-4.08,0,0.305,176.058,0.27
0wEC0GNF74lAqrEFZJMl1m,0.00235,0.508,0.557,0.0134,8,0.588,-8.967,0,0.0478,77.572,0.199
1hz7SRTGUNAtIQ46qiNv2p,0.216,0.518,0.492,0.0012,10,0.146,-8.436,0,0.193,78.848,0.471
4gQdwwPXSXnDkUh4jYqLoC,0.024,0.592,0.861,0.0,1,0.492,-5.177,1,0.249,90.238,0.794
6cpsixIHI63L0hwh3CwZg3,0.0518,0.674,0.578,0.00553,10,0.72,-8.768,0,0.298,112.265,0.163
3B3eOgLJSqPEA0RfboIQVM,0.845,0.592,0.263,5.68e-06,4,0.127,-14.029,0,0.0568,76.366,0.109
4mOqHhznOkkYrhfgssktbZ,0.958,0.671,0.147,0.0755,10,0.144,-18.626,1,0.0367,115.289,0.0555
4JNTpbntShpUpACDUzwHV5,0.0914,0.838,0.763,1.39e-05,10,0.123,-11.132,0,0.227,104.957,0.544
6fo9uskjOIoWXAaUNxN7Bl,0.0206,0.73,0.566,0.0,9,0.337,-8.425,1,0.272,87.051,0.631
6Sgm6qofFJPJG1A06mzDIb,0.203,0.503,0.888,0.0,9,0.268,-3.45,0,0.322,86.287,0.345
69W44ENAu1t2JmZU6OJ2B7,0.0851,0.784,0.974,0.0,4,0.838,-1.043,0,0.264,117.85,0.432
6KNNqqLaousABh4LeVhdJ9,0.535,0.464,0.574,0.0,8,0.244,-9.568,0,0.329,81.199,0.865
0zXnqruuTKhV7dTmbaO52L,0.715,0.815,0.209,0.000854,8,0.133,-16.526,1,0.516,132.689,0.165
3TO6wG55HdfwC8zfOaXAlJ,0.774,0.466,0.165,4.68e-05,5,0.0888,-16.0,1,0.0483,115.957,0.0969
10GskRX0TRVmUzkDZKazDD,0.477,0.503,0.79,0.0,7,0.362,-4.329,1,0.322,84.432,0.747
3pjUyVbFmM96tYhSaKJwTt,0.666,0.74,0.523,0.00142,11,0.0968,-10.753,0,0.233,97.063,0.235
4LKSaRoKNnlpKXTT663BrT,0.141,0.621,0.678,0.0,8,0.098,-4.104,1,0.197,88.231,0.0883
7Ks4VCY1wFebnOdJrM13t6,0.359,0.509,0.787,2.76e-05,7,0.26,-6.754,1,0.265,114.449,0.507
7GRTrWsP3yo2Fx8umJfA1X,0.00457,0.334,0.81,0.0,9,0.158,-4.855,0,0.0632,151.643,0.306
0qkA0NU7cDKWkFXNGRcNaB,0.143,0.533,0.501,0.000578,8,0.172,-9.299,1,0.0436,120.159,0.3
66Q3fAmSX5eHamgbKa9alP,0.262,0.441,0.744,0.000382,6,0.138,-6.248,0,0.476,81.396,0.124
3GVkPk8mqxz0itaAriG1L7,0.847,0.734,0.57,2.14e-05,7,0.112,-7.066,0,0.133,129.953,0.689
1rydhdFtKe2CRkiaVb7aGF,0.0613,0.286,0.55,0.27,9,0.141,-5.794,0,0.0318,136.285,0.109
1UYj8qTWjneZJDVjUMwMub,0.000296,0.547,0.827,0.101,7,0.0858,-6.036,1,0.0468,119.089,0.451
6haTrice1PU59Kd7esp3w1,0.00967,0.49,0.903,0.0,7,0.334,-3.683,1,0.339,114.191,0.325
1StRJBkcyMbf07b5TQRwYM,0.714,0.459,0.615,0.0,3,0.089,-8.67,1,0.33,86.648,0.28
3Z6RaTSHc5PrpQL3DcvGW4,0.0976,0.462,0.848,0.0,7,0.124,-4.386,1,0.243,139.832,0.378
2CHmgtK8OCL28WtIK96u4N,0.0359,0.823,0.813,0.0,7,0.0886,-6.71,1,0.288,95.012,0.373
0zLClc0emc6qUeV1p5nc99,0.246,0.508,0.921,0.0,5,0.221,-1.644,1,0.303,93.058,0.681
7CC6UbCs4iGsePSzFxYxNn,0.898,0.319,0.236,1.62e-05,5,0.272,-9.644,1,0.0318,162.351,0.254
5e5MKPtJuFb8NaeSEyV5gD,0.542,0.603,0.401,0.225,0,0.103,-10.155,0,0.0306,172.633,0.347
